HANDLER_ID,REPORT_CYCLE,BR_GENERATOR,BR_TSDF,BR_GENERATE_TONS,BR_MANAGE_TONS,BR_SHIP_TONS,BR_RECEIVE_TONS,HD_GENERATOR,HD_GENERATOR_CONF,HD_TSDF,HD_TSDF_CONF
ALD002904506,2017,L,N,72.449638,0,72.449638,0,L,FALSE,Y,FALSE
ALD002904506,2019,L,N,91.8525,0,91.8525,0,L,FALSE,Y,FALSE
ALD002904506,2021,L,N,5796.265,0,5796.265,0,L,FALSE,N,FALSE
ALD002904506,2023,L,N,1054.412,0,1054.412,0,L,FALSE,N,FALSE
ALD003396983,2015,L,N,234.5002709,0,234.4745,0,L,FALSE,N,FALSE
ALD003396983,2017,L,N,280.1775,0,280.1775,0,L,FALSE,N,FALSE
ALD003396983,2019,L,N,223.3505163,0,223.3505163,0,L,FALSE,N,FALSE
ALD003396983,2021,L,N,204.3039497,0,204.3039497,0,L,FALSE,N,FALSE
ALD003396983,2023,L,N,389.0165075,0,389.0165075,0,L,FALSE,N,FALSE
ALD003397569,2015,L,N,41.7285,0,41.7285,0,L,FALSE,N,FALSE
ALD003397569,2017,L,N,38.0375,0,38.0375,0,L,FALSE,N,FALSE
ALD003397569,2019,L,N,389.3925,0,389.3925,0,L,FALSE,N,FALSE
ALD003397569,2021,L,N,93.4955,0,93.4955,0,L,FALSE,N,FALSE
ALD003397569,2023,L,N,204.25,0,204.25,0,L,FALSE,N,FALSE
ALD004001731,2015,L,N,87.9,0,87.9,0,L,FALSE,N,FALSE
ALD004001731,2017,L,N,59.2725,0,59.2725,0,L,FALSE,N,FALSE
ALD004001731,2019,L,N,94.9,0,94.9,0,L,FALSE,N,FALSE
ALD004001731,2021,L,N,57.1975,0,57.1975,0,L,FALSE,N,FALSE
ALD004001731,2023,L,N,66.099,0,66.099,0,L,FALSE,N,FALSE
ALD004019691,2015,L,N,243.53,0,243.53,0,L,FALSE,N,FALSE
ALD004019691,2017,L,N,232.022,0,232.022,0,L,FALSE,N,FALSE
ALD004019691,2019,L,N,223.225,0,223.225,0,L,FALSE,N,FALSE
ALD004019691,2021,L,N,241.056,0,241.056,0,L,FALSE,N,FALSE
ALD004019691,2023,L,N,245.822,0,245.822,0,L,FALSE,N,FALSE
ALD004023164,2015,L,N,5379.233,0,5379.233,0,L,FALSE,N,FALSE
ALD004023164,2017,L,N,3431.82,0,3431.82,0,L,FALSE,N,FALSE
ALD004023164,2019,L,N,3639.4415,0,3639.4415,0,L,FALSE,N,FALSE
ALD004023164,2021,L,N,5203.4394927,0,5203.4394927,0,L,FALSE,N,FALSE
ALD004023164,2023,L,N,3512.659,0,3512.659,0,L,FALSE,N,FALSE
ALD005346432,2015,L,N,388.4875,0,388.4875,0,L,FALSE,N,FALSE
ALD005346432,2017,L,N,346.6305,0,346.7805,0,L,FALSE,N,FALSE
ALD005346432,2019,L,N,240.3545,0,240.3495,0,L,FALSE,N,FALSE
ALD005346432,2021,L,N,342.899,0,342.899,0,L,FALSE,N,FALSE
ALD005346432,2023,L,N,345.433,0,345.433,0,L,FALSE,N,FALSE
ALD006320774,2015,L,N,3062.677,0,3010.2795,0,L,FALSE,N,FALSE
ALD006320774,2017,L,N,2718.8935,0,2807.491,0,L,FALSE,N,FALSE
ALD006320774,2019,L,N,3184.511,0,3153.0625,0,L,FALSE,N,FALSE
ALD006320774,2021,L,N,4469.463,0,4494.7935,0,L,FALSE,N,FALSE
ALD006320774,2023,L,N,2586.9535,0,2637.6085,0,L,FALSE,N,FALSE
ALD008163115,2015,L,N,88.4165,0,88.418,0,L,FALSE,N,FALSE
ALD008163115,2017,L,N,38.721,0,38.721,0,L,FALSE,N,FALSE
ALD008163115,2019,L,N,64.1135,0,64.1135,0,L,FALSE,N,FALSE
ALD008163115,2021,L,N,53.5225,0,53.5225,0,L,FALSE,N,FALSE
ALD008163115,2023,L,N,149.2451441,0,149.2451441,0,L,FALSE,N,FALSE
ALD010394021,2015,L,N,4935.1305,0,4935.1305,0,L,FALSE,Y,FALSE
ALD010394021,2017,L,N,7045.696,0,7045.696,0,L,FALSE,Y,FALSE
ALD010394021,2019,L,N,6756.063,0,6756.063,0,L,FALSE,Y,FALSE
ALD010394021,2021,L,N,7072.2555,0,7072.2555,0,L,FALSE,N,FALSE
ALD010394021,2023,L,N,5651.41,0,5651.41,0,L,FALSE,N,FALSE
ALD020852422,2015,L,N,183.817,0,183.817,0,L,FALSE,N,FALSE
ALD020852422,2017,L,N,211.2066163,0,211.2066163,0,L,FALSE,N,FALSE
ALD020852422,2019,L,N,124.33,0,124.33,0,L,FALSE,N,FALSE
ALD020852422,2021,L,N,51.07,0,51.07,0,L,FALSE,N,FALSE
ALD020852422,2023,L,N,513.5525,0,513.5525,0,L,FALSE,N,FALSE
ALD031482037,2015,L,N,150.7969771,0,150.7969771,0,L,FALSE,N,FALSE
ALD031482037,2017,L,N,195.0663323,0,195.0663323,0,L,FALSE,N,FALSE
ALD031482037,2019,L,N,437.3465448,0,437.3465448,0,L,FALSE,N,FALSE
ALD031482037,2021,L,N,469.9511005,0,469.9511005,0,L,FALSE,N,FALSE
ALD031482037,2023,L,N,542.117,0,542.117,0,L,FALSE,N,FALSE
ALD031490501,2015,L,Y,133.0638991,84.6788991,48.385,0,L,FALSE,N,FALSE
ALD031490501,2017,L,Y,124.9690033,84.8040033,40.165,0,L,FALSE,N,FALSE
ALD031490501,2019,L,Y,92.3818098,56.1718098,36.21,0,L,FALSE,N,FALSE
ALD031490501,2021,L,N,60.025,0,60.025,0,L,FALSE,Y,FALSE
ALD031490501,2023,L,N,116.425,0,116.425,0,L,FALSE,Y,FALSE
ALD031612732,2015,N,Y,5.775,45.08,5.775,114.971,L,FALSE,N,FALSE
ALD031612732,2017,L,N,60.1612705,0,60.411029,0,L,FALSE,N,FALSE
ALD031612732,2019,L,N,30.4695,0,30.4695,0,L,FALSE,N,FALSE
ALD031612732,2021,L,N,27.7705,0,27.7705,0,L,FALSE,N,FALSE
ALD031612732,2023,L,N,40.875,0,40.875,0,L,FALSE,N,FALSE
ALD034046730,2015,L,N,159.082,0,159.082,0,L,FALSE,Y,FALSE
ALD034046730,2017,L,N,46.292,0,46.292,0,L,FALSE,N,FALSE
ALD034046730,2019,L,N,23.745,0,23.745,0,L,FALSE,N,FALSE
ALD034046730,2021,L,N,24.544,0,24.544,0,L,FALSE,N,FALSE
ALD034046730,2023,L,N,19.8875,0,19.8875,0,L,FALSE,N,FALSE
ALD041512187,2015,L,N,476.00045,0,476.00045,0,L,FALSE,N,FALSE
ALD041512187,2017,L,N,529.4425,0,529.4425,0,L,FALSE,N,FALSE
ALD041512187,2019,L,N,414.7545,0,414.7545,0,L,FALSE,N,FALSE
ALD041512187,2021,L,N,381.9965,0,381.9965,0,L,FALSE,N,FALSE
ALD041512187,2023,L,N,372.4,0,372.4,0,L,FALSE,N,FALSE
ALD046479523,2015,L,N,56.275,0,56.275,0,L,FALSE,N,FALSE
ALD046479523,2017,L,N,45.65625,0,45.65625,0,L,FALSE,N,FALSE
ALD046479523,2019,L,N,40.3,0,40.3,0,L,FALSE,N,FALSE
ALD046479523,2021,L,N,24.9975,0,24.9975,0,L,FALSE,N,FALSE
ALD046479523,2023,L,N,42.1248323,0,0,0,L,FALSE,N,FALSE
ALD046481032,2015,L,Y,475512.0748442,271912.2602149,78.621,29085.9615,L,FALSE,Y,FALSE
ALD046481032,2017,L,Y,485006.3843345,507661.1485579,3.5102766,22658.2745,L,FALSE,Y,FALSE
ALD046481032,2019,L,Y,405247.4888149,418851.6185442,164.7277707,13768.8575,L,FALSE,Y,FALSE
ALD046481032,2021,L,Y,203899.7912831,216511.9235,637.7147831,13249.847,L,FALSE,Y,FALSE
ALD046481032,2023,L,Y,181717.6245358,195998.644,904.3520358,15185.3715,L,FALSE,Y,FALSE
ALD047154182,2015,L,N,26.244,0,26.244,0,L,FALSE,Y,FALSE
ALD047154182,2017,L,N,24.822,0,26.357,0,L,FALSE,Y,FALSE
ALD047154182,2019,L,N,30.231,0,31.336,0,L,FALSE,Y,FALSE
ALD047154182,2021,L,N,17.6475,0,17.6475,0,L,FALSE,N,FALSE
ALD047154182,2023,L,N,22.9675,0,22.9675,0,L,FALSE,N,FALSE
ALD047158266,2015,L,N,47.806,0,47.806,0,L,FALSE,N,FALSE
ALD047158266,2017,L,N,23.9875,0,23.9875,0,L,FALSE,N,FALSE
ALD047158266,2019,L,N,18.4125,0,18.4125,0,L,FALSE,N,FALSE
ALD047158266,2021,L,N,64.98,0,64.98,0,L,FALSE,N,FALSE
ALD047158266,2023,L,N,86.6435,0,86.6435,0,L,FALSE,N,FALSE
ALD052065117,2015,L,Y,112.4635,46.446,65.9825,0,L,FALSE,N,FALSE
ALD052065117,2017,L,Y,62.7345,29.0875,33.647,0,L,FALSE,N,FALSE
ALD052065117,2019,L,Y,46.7325,26.47,20.2625,0,L,FALSE,N,FALSE
ALD052065117,2021,L,Y,22.948,0.268,22.948,0,L,FALSE,N,FALSE
ALD052065117,2023,L,N,20.1943789,0,20.2643789,0,L,FALSE,N,FALSE
ALD052682762,2015,L,N,39.5,0,39.5,0,L,FALSE,N,FALSE
ALD052682762,2017,L,N,36.0049743,0,36.0049743,0,L,FALSE,N,FALSE
ALD052682762,2019,L,N,34.5799261,0,34.5799261,0,L,FALSE,N,FALSE
ALD052682762,2021,L,N,65.5084773,0,65.5084773,0,L,FALSE,N,FALSE
ALD052682762,2023,L,N,24.6045867,0,24.6045867,0,L,FALSE,N,FALSE
ALD057202558,2015,L,N,300.3415,0,298.9695,0,L,FALSE,N,FALSE
ALD057202558,2017,L,N,227.3705,0,227.3685,0,L,FALSE,N,FALSE
ALD057202558,2019,L,N,333.224,0,333.224,0,L,FALSE,N,FALSE
ALD057202558,2021,L,N,1012.963,0,1012.963,0,L,FALSE,N,FALSE
ALD057202558,2023,L,N,1231.8475,0,1231.8475,0,L,FALSE,N,FALSE
ALD057213811,2015,L,N,410.4,0,410.4,0,L,FALSE,N,FALSE
ALD057213811,2017,L,N,225.63,0,225.63,0,L,FALSE,N,FALSE
ALD057213811,2019,L,N,155.22,0,155.22,0,L,FALSE,N,FALSE
ALD057213811,2021,L,N,194.5335,0,194.5335,0,VS,FALSE,N,FALSE
ALD057213811,2023,L,N,239.5359999,0,239.606,0,L,FALSE,N,FALSE
ALD058036054,2015,L,N,70.44,0,70.44,0,L,FALSE,N,FALSE
ALD058036054,2017,L,N,59.9925,0,59.9925,0,L,FALSE,N,FALSE
ALD058036054,2019,L,N,91.527,0,91.527,0,L,FALSE,N,FALSE
ALD058036054,2021,L,N,41.7485,0,41.7485,0,L,FALSE,N,FALSE
ALD058036054,2023,L,N,148.9805,0,148.9805,0,L,FALSE,N,FALSE
ALD062464748,2015,L,N,61.89,0,61.89,0,L,FALSE,N,FALSE
ALD062464748,2017,L,N,352.7165,0,352.7165,0,L,FALSE,N,FALSE
ALD062464748,2019,L,N,201.6,0,201.6,0,L,FALSE,N,FALSE
ALD062464748,2021,L,N,370.046,0,370.046,0,L,FALSE,N,FALSE
ALD062464748,2023,L,N,122.0525,0,122.0525,0,L,FALSE,N,FALSE
ALD063671093,2015,L,N,20.988,0,20.988,0,L,FALSE,N,FALSE
ALD063671093,2017,L,N,18.8128441,0,18.8128441,0,L,FALSE,N,FALSE
ALD063671093,2019,L,N,26.3,0,26.3,0,L,FALSE,N,FALSE
ALD063671093,2021,L,N,34.844,0,14.694,0,L,FALSE,N,FALSE
ALD063671093,2023,L,N,23.25,0,23.25,0,L,FALSE,N,FALSE
ALD063679567,2015,L,N,128.879,0,128.879,0,L,FALSE,N,FALSE
ALD063679567,2017,L,N,112.4395,0,112.5395,0,L,FALSE,N,FALSE
ALD063679567,2019,L,N,85.107,0,85.107,0,L,FALSE,N,FALSE
ALD063679567,2021,L,N,48.2985,0,48.2985,0,L,FALSE,N,FALSE
